RA,IAA,IEG,IPS,IDA,IPV,IAN,Atingiu PV,Ano,INDE_Calc,Delta_Acad_Engaj,Potencial_Virada,Risco_Psicosocial
RA-1,8.3,4.1,5.6,4.0,7.278,5.0,0.0,2022,4.9656,-0.09999999999999964,5.689,0
RA-2,8.8,5.2,6.3,6.8,6.778,10.0,0.0,2022,6.2656,1.5999999999999996,5.989,0
RA-3,0.0,7.9,5.6,5.6,7.556,10.0,0.0,2022,5.7712,-2.3000000000000007,7.728,0
RA-4,8.8,4.5,5.6,5.0,5.278,10.0,0.0,2022,5.3956,0.5,4.888999999999999,0
RA-5,7.9,8.6,5.6,5.2,7.389,10.0,0.0,2022,6.5878,-3.3999999999999995,7.9945,0
RA-6,7.9,4.5,7.5,3.3,7.222,5.0,0.0,2022,5.0444,-1.2000000000000002,5.861000000000001,0
RA-7,0.0,8.4,7.5,7.6,7.667,5.0,0.0,2022,5.9834000000000005,-0.8000000000000007,8.0335,0
RA-8,7.1,4.6,6.3,1.6,6.278,5.0,0.0,2022,4.3356,-2.9999999999999996,5.439,0
RA-9,8.8,9.5,7.5,6.7,9.5,5.0,1.0,2022,7.2700000000000005,-2.8,9.5,0
RA-10,8.3,5.2,5.0,4.1,7.056,5.0,0.0,2022,5.1012,-1.1000000000000005,6.128,0
RA-11,9.2,4.2,5.0,3.0,6.389,5.0,0.0,2022,4.6378,-1.2000000000000002,5.2945,0
RA-12,0.0,4.0,6.9,1.5,6.389,10.0,0.0,2022,4.0678,-2.5,5.1945,0
RA-13,7.9,7.4,7.5,4.7,8.056,5.0,0.0,2022,6.0712,-2.7,7.728,0
RA-14,7.9,8.3,7.5,4.0,7.75,5.0,0.0,2022,6.05,-4.300000000000001,8.025,0
RA-15,8.8,10.0,7.5,7.3,7.292,5.0,0.0,2022,7.0484,-2.7,8.646,0
RA-16,7.9,8.3,5.0,3.5,6.333,5.0,0.0,2022,5.416600000000001,-4.800000000000001,7.3165000000000004,0
RA-17,8.8,10.0,7.5,7.8,8.292,5.0,0.0,2022,7.348400000000001,-2.2,9.146,0
RA-18,6.3,8.7,6.3,9.0,6.875,5.0,0.0,2022,6.675,0.3000000000000007,7.7875,0
RA-19,7.9,9.5,7.5,8.0,7.0,5.0,0.0,2022,6.94,-1.5,8.25,0
RA-20,7.1,10.0,6.3,7.8,7.167,5.0,0.0,2022,6.8334,-2.2,8.5835,0
RA-21,9.6,9.2,7.5,3.8,7.25,5.0,0.0,2022,6.26,-5.3999999999999995,8.225,0
RA-22,8.3,7.4,8.1,6.7,8.833,5.0,1.0,2022,6.726600000000001,-0.7000000000000002,8.1165,0
RA-23,8.3,8.2,8.1,6.7,8.556,5.0,1.0,2022,6.831200000000001,-1.4999999999999991,8.378,0
RA-24,9.2,7.9,6.9,8.6,9.111,5.0,1.0,2022,7.232200000000001,0.6999999999999993,8.505500000000001,0
RA-25,8.3,8.3,8.8,6.9,9.667,5.0,1.0,2022,7.1834,-1.4000000000000004,8.9835,0
RA-26,9.6,8.8,10.0,8.0,10.0,5.0,1.0,2022,7.82,-0.8000000000000007,9.4,0
RA-27,0.0,7.6,8.1,8.0,9.111,5.0,1.0,2022,6.2522,0.40000000000000036,8.3555,0
RA-28,7.9,6.1,7.5,5.0,6.333,5.0,0.0,2022,5.5266,-1.0999999999999996,6.2165,0
RA-29,0.0,4.0,8.8,3.7,7.611,5.0,0.0,2022,4.4422,-0.2999999999999998,5.8055,0
RA-30,8.8,6.4,7.5,7.5,7.333,10.0,0.0,2022,6.8766,1.0999999999999996,6.8665,0
RA-31,10.0,9.5,9.4,8.0,10.0,5.0,1.0,2022,7.94,-1.5,9.75,0
RA-32,8.8,5.2,8.8,6.1,7.944,10.0,0.0,2022,6.6088,0.8999999999999995,6.572,0
RA-33,0.0,4.6,7.5,4.8,6.0,5.0,0.0,2022,4.33,0.20000000000000018,5.3,0
RA-34,9.6,4.8,8.1,3.8,7.278,5.0,0.0,2022,5.4456,-1.0,6.039,0
RA-35,10.0,9.6,9.4,8.5,10.0,5.0,1.0,2022,8.06,-1.0999999999999996,9.8,0
RA-36,9.2,9.0,6.9,6.8,8.944,5.0,1.0,2022,7.058800000000001,-2.2,8.972000000000001,0
RA-37,0.0,5.4,5.0,5.9,5.222,5.0,0.0,2022,4.3044,0.5,5.311,0
RA-38,9.2,8.9,7.5,8.6,9.833,5.0,1.0,2022,7.6366,-0.3000000000000007,9.3665,0
RA-39,0.0,4.8,6.9,6.9,6.111,10.0,0.0,2022,5.2522,2.1000000000000005,5.4555,0
RA-40,7.9,7.8,7.5,6.8,7.75,5.0,0.0,2022,6.51,-1.0,7.775,0
RA-41,9.2,6.1,5.0,5.6,4.375,5.0,0.0,2022,5.135,-0.5,5.2375,0
RA-42,8.3,7.9,5.6,4.8,6.083,10.0,0.0,2022,6.146599999999999,-3.1000000000000005,6.9915,0
RA-43,6.3,6.5,5.6,4.3,5.958,5.0,0.0,2022,5.0416,-2.2,6.229,0
RA-44,5.0,5.9,7.5,3.0,7.292,5.0,0.0,2022,4.9884,-2.9000000000000004,6.596,0
RA-45,7.9,8.9,5.6,6.8,7.417,10.0,0.0,2022,6.9734,-2.1000000000000005,8.1585,0
RA-46,8.8,8.4,6.3,2.1,7.083,5.0,0.0,2022,5.5266,-6.300000000000001,7.7415,0
RA-47,7.9,6.3,7.5,2.1,7.042,5.0,0.0,2022,5.1284,-4.199999999999999,6.670999999999999,0
RA-48,6.7,8.4,7.5,8.1,8.5,10.0,1.0,2022,7.420000000000001,-0.3000000000000007,8.45,0
RA-49,7.5,7.4,7.5,3.9,7.042,5.0,0.0,2022,5.6684,-3.5000000000000004,7.221,0
RA-50,7.5,8.4,7.5,7.8,7.542,2.5,0.0,2022,6.4984,-0.6000000000000005,7.971,0
RA-51,8.8,7.6,7.5,5.0,6.5,5.0,0.0,2022,5.95,-2.5999999999999996,7.05,0
RA-52,9.6,8.9,7.5,6.2,7.5,10.0,0.0,2022,7.23,-2.7,8.2,0
RA-53,9.2,7.0,7.5,7.0,6.458,5.0,0.0,2022,6.2616000000000005,0.0,6.729,0
RA-54,7.9,6.9,7.5,4.8,6.125,5.0,0.0,2022,5.605,-2.1000000000000005,6.5125,0
RA-55,7.1,7.6,5.6,7.5,6.5,5.0,0.0,2022,6.09,-0.09999999999999964,7.05,0
RA-56,10.0,10.0,7.5,7.0,8.25,10.0,0.0,2022,7.800000000000001,-3.0,9.125,0
RA-57,7.1,8.1,5.6,8.4,7.875,5.0,0.0,2022,6.645,0.3000000000000007,7.9875,0
RA-58,9.6,9.2,6.3,7.2,8.125,10.0,0.0,2022,7.495,-1.9999999999999991,8.6625,0
RA-59,9.2,9.3,7.5,7.2,7.917,5.0,0.0,2022,7.053400000000001,-2.1000000000000005,8.6085,0
RA-60,6.7,6.0,7.5,4.9,6.167,2.5,0.0,2022,5.0834,-1.0999999999999996,6.0835,0
RA-61,9.2,7.4,7.5,5.8,7.875,10.0,0.0,2022,6.885000000000001,-1.6000000000000005,7.6375,0
RA-62,8.8,9.4,7.5,9.3,7.25,5.0,0.0,2022,7.32,-0.09999999999999964,8.325,0
RA-63,8.3,9.1,8.8,8.7,9.417,5.0,1.0,2022,7.6534,-0.40000000000000036,9.2585,0
RA-64,7.1,8.1,8.1,7.5,8.25,5.0,0.0,2022,6.790000000000001,-0.5999999999999996,8.175,0
RA-65,8.3,7.7,7.5,9.3,7.875,5.0,0.0,2022,7.055000000000001,1.6000000000000005,7.7875,0
RA-66,7.5,5.6,7.5,4.5,5.917,5.0,0.0,2022,5.203399999999999,-1.0999999999999996,5.7585,0
RA-67,5.8,3.0,7.5,3.6,6.889,5.0,0.0,2022,4.527800000000001,0.6000000000000001,4.9445,0
RA-68,8.3,6.0,7.5,4.0,7.944,5.0,0.0,2022,5.6688,-2.0,6.9719999999999995,0
RA-69,8.3,6.1,7.5,2.5,6.167,5.0,0.0,2022,5.0334,-3.5999999999999996,6.1335,0
RA-70,8.8,6.6,5.0,2.9,6.111,5.0,0.0,2022,5.0022,-3.6999999999999997,6.355499999999999,0
RA-71,7.9,2.0,7.5,1.2,5.833,5.0,0.0,2022,3.8466000000000005,-0.8,3.9165,0
RA-72,8.3,7.5,7.5,7.8,8.667,5.0,1.0,2022,6.8734,0.2999999999999998,8.0835,0
RA-73,7.1,3.0,7.5,3.3,7.278,5.0,0.0,2022,4.6756,0.2999999999999998,5.138999999999999,0
RA-74,9.6,3.3,7.5,2.0,5.833,5.0,0.0,2022,4.4366,-1.2999999999999998,4.5665,0
RA-75,5.4,3.8,6.3,0.0,4.625,5.0,0.0,2022,3.3550000000000004,-3.8,4.2125,0
RA-76,10.0,9.1,8.1,8.7,9.292,10.0,1.0,2022,8.2284,-0.40000000000000036,9.196,0
RA-77,7.1,2.7,5.0,0.7,4.625,5.0,0.0,2022,3.3150000000000004,-2.0,3.6625,0
RA-78,8.3,6.6,5.6,7.2,8.0,5.0,0.0,2022,6.25,0.6000000000000005,7.3,0
RA-79,5.4,6.3,5.6,8.9,7.292,5.0,0.0,2022,6.0984,2.6000000000000005,6.795999999999999,0
RA-80,9.2,8.3,5.0,7.1,7.625,5.0,0.0,2022,6.525,-1.200000000000001,7.9625,0
RA-81,9.2,9.2,5.0,6.0,7.458,10.0,0.0,2022,6.9516,-3.1999999999999993,8.329,0
RA-82,8.8,6.8,7.5,5.5,6.417,5.0,0.0,2022,5.8734,-1.2999999999999998,6.608499999999999,0
RA-83,7.9,6.8,7.5,6.8,5.958,5.0,0.0,2022,5.9516,0.0,6.379,0
RA-84,7.1,8.8,5.0,5.8,6.75,5.0,0.0,2022,5.98,-3.000000000000001,7.775,0
RA-85,6.7,7.3,5.0,4.3,5.833,10.0,0.0,2022,5.6566,-3.0,6.5665,0
RA-86,7.5,9.6,5.6,6.7,8.458,5.0,1.0,2022,6.7616,-2.8999999999999995,9.029,0
RA-87,8.3,9.6,7.5,8.8,8.5,10.0,1.0,2022,7.96,-0.7999999999999989,9.05,0
RA-88,7.1,9.2,5.6,6.5,9.208,5.0,1.0,2022,6.7516,-2.6999999999999993,9.204,0
RA-89,9.6,7.8,7.5,5.9,8.0,5.0,0.0,2022,6.550000000000001,-1.8999999999999995,7.9,0
RA-90,10.0,9.7,9.4,8.5,9.75,10.0,1.0,2022,8.530000000000001,-1.1999999999999993,9.725,0
RA-91,9.2,5.7,5.6,6.6,7.125,5.0,0.0,2022,5.864999999999999,0.8999999999999995,6.4125,0
RA-92,9.2,7.1,5.0,7.4,6.667,5.0,0.0,2022,6.1534,0.3000000000000007,6.8835,0
RA-93,8.3,9.7,8.1,8.5,9.083,10.0,1.0,2022,8.096600000000002,-1.1999999999999993,9.3915,0
RA-94,8.3,9.6,8.1,7.7,9.583,10.0,1.0,2022,8.0166,-1.8999999999999995,9.5915,0
RA-95,8.3,6.6,7.5,4.8,6.292,5.0,0.0,2022,5.6184,-1.7999999999999998,6.446,0
RA-96,9.2,7.8,6.9,6.7,8.5,5.0,1.0,2022,6.710000000000001,-1.0999999999999996,8.15,0
RA-97,7.5,8.8,5.0,6.9,6.292,10.0,0.0,2022,6.6484000000000005,-1.9000000000000004,7.546,0
RA-98,8.8,10.0,9.4,8.5,9.667,10.0,1.0,2022,8.4534,-1.5,9.8335,0
RA-99,8.8,6.3,7.5,5.0,5.833,5.0,0.0,2022,5.5565999999999995,-1.2999999999999998,6.0665,0
RA-100,8.8,7.8,5.0,7.6,7.25,10.0,0.0,2022,6.91,-0.20000000000000018,7.525,0
RA-101,7.9,8.3,7.5,7.6,6.833,5.0,0.0,2022,6.586600000000001,-0.7000000000000011,7.5665000000000004,0
RA-102,6.7,7.7,6.9,5.7,6.0,10.0,0.0,2022,6.240000000000001,-2.0,6.85,0
RA-103,7.9,8.7,7.5,7.3,7.708,10.0,0.0,2022,7.2816,-1.3999999999999995,8.204,0
RA-104,7.9,8.7,7.5,3.7,6.708,2.5,0.0,2022,5.611599999999999,-4.999999999999999,7.704,0
RA-105,7.9,8.2,5.6,6.7,7.417,2.5,0.0,2022,6.0634,-1.4999999999999991,7.8084999999999996,0
RA-106,9.2,8.0,9.4,7.4,8.375,5.0,1.0,2022,7.115,-0.5999999999999996,8.1875,0
RA-107,7.5,6.4,7.5,4.6,6.5,5.0,0.0,2022,5.5,-1.8000000000000007,6.45,0
RA-108,4.6,7.7,5.0,5.0,6.125,2.5,0.0,2022,4.975,-2.7,6.9125,0
RA-109,8.8,10.0,8.8,8.4,8.667,5.0,1.0,2022,7.673399999999999,-1.5999999999999996,9.3335,0
RA-110,9.2,9.7,5.6,6.7,8.0,10.0,0.0,2022,7.359999999999999,-2.999999999999999,8.85,0
RA-111,7.5,9.4,8.1,8.0,8.667,10.0,1.0,2022,7.7734000000000005,-1.4000000000000004,9.0335,0
RA-112,7.9,7.8,6.3,8.5,8.833,5.0,1.0,2022,6.946600000000001,0.7000000000000002,8.3165,0
RA-113,0.0,0.0,5.0,3.7,3.792,5.0,0.0,2022,2.4984,3.7,1.896,0
RA-114,7.9,6.3,7.5,5.3,5.0,5.0,0.0,2022,5.36,-1.0,5.65,0
RA-115,8.3,6.8,6.3,3.8,5.583,5.0,0.0,2022,5.1966,-3.0,6.1915,0
RA-116,5.8,8.1,6.3,5.9,7.792,5.0,0.0,2022,6.0684000000000005,-2.1999999999999993,7.946,0
RA-117,7.9,6.3,6.9,6.1,7.417,5.0,0.0,2022,5.9434000000000005,-0.20000000000000018,6.858499999999999,0
RA-118,0.0,5.3,6.3,3.9,6.958,10.0,0.0,2022,4.8616,-1.4,6.129,0
RA-119,8.3,8.2,5.6,5.4,7.875,10.0,0.0,2022,6.685,-2.799999999999999,8.0375,0
RA-120,8.3,5.9,7.5,6.2,7.667,5.0,0.0,2022,6.0334,0.2999999999999998,6.7835,0
RA-121,7.1,8.4,6.3,7.2,7.625,5.0,0.0,2022,6.485,-1.2000000000000002,8.0125,0
RA-122,7.9,3.4,7.5,1.8,4.958,10.0,0.0,2022,4.5716,-1.5999999999999999,4.179,0
RA-123,7.9,8.6,5.6,6.5,7.292,5.0,0.0,2022,6.3284,-2.0999999999999996,7.946,0
RA-124,7.9,7.8,5.0,6.7,7.167,10.0,0.0,2022,6.623399999999999,-1.0999999999999996,7.483499999999999,0
RA-125,8.8,8.5,7.5,7.1,7.75,5.0,0.0,2022,6.8,-1.4000000000000004,8.125,0
RA-126,7.1,5.8,7.5,4.4,7.417,5.0,0.0,2022,5.4834,-1.3999999999999995,6.608499999999999,0
RA-127,7.5,8.7,7.5,7.9,8.125,10.0,0.0,2022,7.445,-0.7999999999999989,8.4125,0
RA-128,0.0,6.2,7.5,5.6,6.167,5.0,0.0,2022,4.843400000000001,-0.6000000000000005,6.1835,0
RA-129,6.7,6.4,7.5,6.7,7.792,5.0,0.0,2022,6.0984,0.2999999999999998,7.096,0
RA-130,8.3,4.7,5.0,4.1,6.5,5.0,0.0,2022,4.89,-0.6000000000000005,5.6,0
RA-131,8.8,9.0,5.6,5.6,7.75,5.0,0.0,2022,6.409999999999999,-3.4000000000000004,8.375,0
RA-132,10.0,8.8,5.6,7.7,8.458,10.0,1.0,2022,7.5516000000000005,-1.1000000000000005,8.629000000000001,0
RA-133,7.9,7.1,7.5,5.6,7.625,5.0,0.0,2022,6.105,-1.5,7.3625,0
RA-134,8.8,6.8,7.5,4.7,7.375,5.0,0.0,2022,5.904999999999999,-2.0999999999999996,7.0875,0
RA-135,8.3,7.8,5.6,8.6,8.583,5.0,1.0,2022,6.8866,0.7999999999999998,8.1915,0
RA-136,10.0,6.3,7.5,4.6,6.667,5.0,0.0,2022,5.7634,-1.7000000000000002,6.483499999999999,0
RA-137,7.5,8.9,5.0,7.3,7.792,2.5,0.0,2022,6.2984,-1.6000000000000005,8.346,0
RA-138,9.6,8.0,5.6,5.6,6.375,5.0,0.0,2022,6.015,-2.4000000000000004,7.1875,0
RA-139,7.1,3.5,5.0,1.4,3.917,2.5,0.0,2022,3.2234,-2.1,3.7085,0
RA-140,7.9,7.6,6.9,5.7,7.667,10.0,0.0,2022,6.673400000000001,-1.8999999999999995,7.6335,0
RA-141,9.2,8.2,5.6,5.7,5.917,10.0,0.0,2022,6.4434,-2.499999999999999,7.0584999999999996,0
RA-142,6.7,8.6,5.6,6.3,7.583,10.0,0.0,2022,6.7265999999999995,-2.3,8.0915,0
RA-143,8.3,9.9,5.6,7.9,9.5,10.0,1.0,2022,7.8500000000000005,-2.0,9.7,0
RA-144,7.5,9.3,5.0,7.9,8.292,10.0,0.0,2022,7.348400000000001,-1.4000000000000004,8.796,0
RA-145,0.0,6.3,8.1,5.2,7.25,5.0,0.0,2022,5.0600000000000005,-1.0999999999999996,6.775,0
RA-146,8.3,9.2,7.5,7.9,8.208,5.0,0.0,2022,7.1416,-1.299999999999999,8.704,0
RA-147,8.3,7.7,7.5,6.1,7.25,10.0,0.0,2022,6.79,-1.6000000000000005,7.475,0
RA-148,9.2,7.9,10.0,5.3,7.708,10.0,0.0,2022,7.1016,-2.6000000000000005,7.804,0
RA-149,9.2,6.5,7.5,5.0,6.125,5.0,0.0,2022,5.695,-1.5,6.3125,0
RA-150,9.6,6.3,6.9,6.9,7.333,5.0,0.0,2022,6.256600000000001,0.6000000000000005,6.8165,0
RA-151,8.8,7.5,6.9,8.3,7.958,5.0,0.0,2022,6.8216,0.8000000000000007,7.729,0
RA-152,8.3,7.0,7.5,6.5,6.292,5.0,0.0,2022,6.0384,-0.5,6.646,0
RA-153,7.9,8.2,5.0,6.6,7.708,10.0,0.0,2022,6.7916,-1.5999999999999996,7.954,0
RA-154,8.3,6.1,6.3,4.0,6.833,5.0,0.0,2022,5.3466000000000005,-2.0999999999999996,6.4665,0
RA-155,10.0,8.3,7.5,5.2,6.833,5.0,0.0,2022,6.3166,-3.1000000000000005,7.5665000000000004,0
RA-156,10.0,8.3,9.4,4.4,7.792,5.0,0.0,2022,6.5384,-3.9000000000000004,8.046,0
RA-157,7.5,10.0,6.3,7.7,8.292,10.0,0.0,2022,7.5784,-2.3,9.146,0
RA-158,7.9,9.8,5.6,6.6,8.125,2.5,0.0,2022,6.505,-3.200000000000001,8.9625,0
RA-159,8.3,8.1,5.6,4.7,6.458,5.0,0.0,2022,5.7416,-3.3999999999999995,7.279,0
RA-160,7.5,7.2,5.6,5.3,8.25,5.0,0.0,2022,5.96,-1.9000000000000004,7.725,0
RA-161,7.9,9.1,5.6,6.9,8.083,10.0,0.0,2022,7.1666,-2.1999999999999993,8.5915,0
RA-162,6.7,8.5,7.5,5.5,6.542,10.0,0.0,2022,6.5284,-3.0,7.521,0
RA-163,8.8,7.9,5.6,6.7,6.5,5.0,0.0,2022,6.159999999999999,-1.2000000000000002,7.2,0
RA-164,8.3,7.3,5.6,6.5,7.208,5.0,0.0,2022,6.0916,-0.7999999999999998,7.254,0
RA-165,7.1,9.8,5.6,7.6,7.5,10.0,0.0,2022,7.25,-2.200000000000001,8.65,0
RA-166,9.2,9.0,6.3,8.1,7.542,10.0,0.0,2022,7.4784,-0.9000000000000004,8.271,0
RA-167,9.2,9.7,5.6,7.9,7.833,5.0,0.0,2022,7.066599999999999,-1.799999999999999,8.7665,0
RA-168,7.9,8.3,6.3,5.9,7.083,5.0,0.0,2022,6.1766000000000005,-2.4000000000000004,7.6915000000000004,0
RA-169,7.5,5.1,6.3,3.2,4.792,5.0,0.0,2022,4.4984,-1.8999999999999995,4.946,0
RA-170,8.3,9.2,5.6,4.9,5.792,10.0,0.0,2022,6.3684,-4.299999999999999,7.4959999999999996,0
RA-171,7.5,6.8,7.5,5.5,6.875,5.0,0.0,2022,5.835,-1.2999999999999998,6.8375,0
RA-172,9.2,8.9,9.4,7.3,8.917,10.0,1.0,2022,7.883400000000001,-1.6000000000000005,8.9085,0
RA-173,8.3,9.2,6.9,7.9,9.25,2.5,1.0,2022,7.040000000000001,-1.299999999999999,9.225,0
RA-174,7.9,6.2,7.5,4.4,6.042,5.0,0.0,2022,5.3684,-1.7999999999999998,6.121,0
RA-175,8.3,9.2,5.6,5.9,5.833,5.0,0.0,2022,6.076599999999999,-3.299999999999999,7.5165,0
RA-176,9.6,9.1,5.6,6.9,9.083,10.0,1.0,2022,7.5366,-2.1999999999999993,9.0915,0
RA-177,7.9,8.8,4.4,6.8,6.958,10.0,0.0,2022,6.741600000000002,-2.000000000000001,7.8790000000000004,1
RA-178,0.0,8.8,4.4,6.3,8.458,10.0,1.0,2022,6.1516,-2.500000000000001,8.629000000000001,1
RA-179,7.5,9.2,7.5,6.1,8.042,10.0,0.0,2022,7.1684,-3.0999999999999996,8.620999999999999,0
RA-180,9.2,8.3,6.3,8.1,8.625,10.0,1.0,2022,7.555,-0.20000000000000107,8.4625,0
RA-181,9.2,9.5,8.8,6.8,8.458,10.0,1.0,2022,7.751600000000001,-2.7,8.979,0
RA-182,7.5,8.0,7.5,4.1,6.958,2.5,0.0,2022,5.5616,-3.9000000000000004,7.479,0
RA-183,8.3,8.8,7.5,3.8,7.25,10.0,0.0,2022,6.550000000000001,-5.000000000000001,8.025,0
RA-184,8.8,7.7,7.5,7.2,8.0,2.5,0.0,2022,6.460000000000001,-0.5,7.85,0
RA-185,7.9,7.7,7.5,4.5,6.875,5.0,0.0,2022,5.855,-3.2,7.2875,0
RA-186,8.3,8.5,7.5,6.6,7.5,10.0,0.0,2022,7.1000000000000005,-1.9000000000000004,8.0,0
RA-187,8.8,8.9,7.5,5.8,7.917,10.0,0.0,2022,7.1534,-3.1000000000000005,8.4085,0
RA-188,0.0,6.1,7.5,2.7,7.583,5.0,0.0,2022,4.5266,-3.3999999999999995,6.8415,0
RA-189,10.0,9.7,5.0,7.2,7.333,5.0,0.0,2022,6.8466000000000005,-2.499999999999999,8.5165,0
RA-190,6.7,6.9,8.8,6.3,7.25,10.0,0.0,2022,6.64,-0.6000000000000005,7.075,0
RA-191,10.0,9.4,8.8,7.2,8.5,10.0,1.0,2022,7.9,-2.2,8.95,0
RA-192,8.8,3.6,7.5,2.7,4.708,5.0,0.0,2022,4.331600000000001,-0.8999999999999999,4.154,0
RA-193,9.2,8.9,5.6,6.7,8.5,10.0,1.0,2022,7.3,-2.2,8.7,0
RA-194,0.0,6.2,5.0,3.2,3.75,5.0,0.0,2022,3.6300000000000003,-3.0,4.975,0
RA-195,8.8,9.2,5.0,6.3,8.25,10.0,0.0,2022,7.13,-2.8999999999999995,8.725,0
RA-196,9.2,9.1,7.5,5.1,8.625,10.0,1.0,2022,7.234999999999999,-4.0,8.8625,0
RA-197,8.8,9.7,4.4,7.3,8.292,10.0,0.0,2022,7.378400000000001,-2.3999999999999995,8.995999999999999,1
RA-198,0.0,6.2,5.0,4.6,5.958,10.0,0.0,2022,4.8516,-1.6000000000000005,6.079000000000001,0
RA-199,8.3,7.1,7.5,7.5,6.458,10.0,0.0,2022,6.7916,0.40000000000000036,6.779,0
RA-200,7.9,5.6,4.4,5.5,4.917,5.0,0.0,2022,4.9334,-0.09999999999999964,5.2585,1
RA-201,7.9,7.3,7.5,6.5,7.542,5.0,0.0,2022,6.3084,-0.7999999999999998,7.420999999999999,0
RA-202,0.0,5.2,4.4,5.4,6.917,5.0,0.0,2022,4.4434000000000005,0.20000000000000018,6.0585,1
RA-203,8.8,4.3,7.5,2.8,6.875,5.0,0.0,2022,4.925,-1.5,5.5875,0
RA-204,7.9,6.7,4.4,7.4,5.708,10.0,0.0,2022,6.191600000000001,0.7000000000000002,6.204000000000001,1
RA-205,9.6,3.8,7.5,4.1,4.833,5.0,0.0,2022,4.756600000000001,0.2999999999999998,4.3165,0
RA-206,8.3,8.8,7.5,5.0,5.167,10.0,0.0,2022,6.3734,-3.8000000000000007,6.9835,0
RA-207,0.0,4.8,7.5,5.8,5.708,2.5,0.0,2022,4.2616000000000005,1.0,5.254,0
RA-208,7.5,7.1,7.5,6.1,6.417,5.0,0.0,2022,5.9234,-1.0,6.7585,0
RA-209,0.0,4.8,5.6,6.0,3.75,5.0,0.0,2022,3.97,1.2000000000000002,4.275,0
RA-210,0.0,5.1,7.5,3.4,4.417,5.0,0.0,2022,3.8334,-1.6999999999999997,4.7585,0
RA-211,9.2,8.8,7.5,7.6,8.458,10.0,1.0,2022,7.6416,-1.200000000000001,8.629000000000001,0
RA-212,9.6,8.4,7.5,6.2,6.958,5.0,0.0,2022,6.521600000000001,-2.2,7.679,0
RA-213,9.6,8.7,7.5,3.5,6.833,10.0,0.0,2022,6.5166,-5.199999999999999,7.7665,0
RA-214,0.0,6.1,7.5,4.3,5.125,5.0,0.0,2022,4.355,-1.7999999999999998,5.6125,0
RA-215,6.7,5.8,7.5,7.8,6.542,10.0,0.0,2022,6.4483999999999995,2.0,6.170999999999999,0
RA-216,7.9,8.5,7.5,7.0,5.583,10.0,0.0,2022,6.756600000000001,-1.5,7.0415,0
